DDB Spell ID,Spell ID,Name,Level,Source,Page,Source Citation,Casting Time,Range/Area,Components,Components [expanded],Duration,School,Attack/Save,Save,Damage/Effect,Notes,Description,At Higher Levels,Spell Tags,Available For,DDB URL,DDB Filter URL
1991,alarm,Alarm,1,Basic Rules (2014),211,"Basic Rules (2014), pg. 211",1 Minute Ritual,30 ft.,"V, S, M *","V, S, M (a tiny bell and a piece of fine silver wire)",8 Hours,Abjuration,None,,Detection,,"You set an alarm against unwanted intrusion. Choose a door, a window, or an area within range that is no larger than a 20-foot cube. Until the spell ends, an alarm alerts you whenever a Tiny or larger creature touches or enters the warded area. When you cast the spell, you can designate creatures that won't set off the alarm. You also choose whether the alarm is mental or audible.
A mental alarm alerts you with a ping in your mind if you are within 1 mile of the warded area. This ping awakens you if you are sleeping.
An audible alarm produces the sound of a hand bell for 10 seconds within 60 feet.",,Detection,"Ranger (Legacy), Wizard (Legacy), Artificer (Legacy), Paladin (Legacy) - Oath of the Watchers",https://www.dndbeyond.com/spells/1991-alarm,https://www.dndbeyond.com/spells?filter-search=&filter-verbal=&filter-somatic=&filter-material=&filter-concentration=&filter-ritual=&filter-source-category=26&filter-source-category=1&filter-partnered-content=f
1992,alter-self,Alter Self,2,Basic Rules (2014),211,"Basic Rules (2014), pg. 211",1 Action,Self,"V, S","V, S",Concentration 1 Hour,Transmutation,None,,Shapechanging,,"You assume a different form. When you cast the spell, choose one of the following options, the effects of which last for the duration of the spell. While the spell lasts, you can end one option as an action to gain the benefits of a different one.
Aquatic Adaptation.
You adapt your body to an aquatic environment, sprouting gills and growing webbing between your fingers. You can breathe underwater and gain a swimming speed equal to your walking speed.
Change Appearance.
You transform your appearance. You decide what you look like, including your height, weight, facial features, sound of your voice, hair length, coloration, and distinguishing characteristics, if any. You can make yourself appear as a member of another race, though none of your statistics change. You also can't appear as a creature of a different size than you, and your basic shape stays the same; if you're bipedal, you can't use this spell to become quadrupedal, for instance. At any time for the duration of the spell, you can use your action to change your appearance in this way again.
Natural Weapons.
You grow claws, fangs, spines, horns, or a different natural weapon of your choice. Your unarmed strikes deal 1d6 bludgeoning, piercing, or slashing damage, as appropriate to the natural weapon you chose, and you are proficient with your unarmed strikes. Finally, the natural weapon is magic and you have a +1 bonus to the attack and damage rolls you make using it.",,Shapechanging,"Sorcerer (Legacy), Wizard (Legacy), Artificer (Legacy), Warlock (Legacy) - The Predator",https://www.dndbeyond.com/spells/1992-alter-self,https://www.dndbeyond.com/spells?filter-search=&filter-verbal=&filter-somatic=&filter-material=&filter-concentration=&filter-ritual=&filter-source-category=26&filter-source-category=1&filter-partnered-content=f
1993,animal-friendship,Animal Friendship,1,Basic Rules (2014),212,"Basic Rules (2014), pg. 212",1 Action,30 ft.,"V, S, M *","V, S, M (a morsel of food)",24 Hours,Enchantment,WIS Save,Wis,Charmed,Duration: 24h. The spell fails if the beast’s Intelligence is 4 or higher,"This spell lets you convince a beast that you mean it no harm. Choose a beast that you can see within range. It must see and hear you. If the beast's Intelligence is 4 or higher, the spell fails. Otherwise, the beast must succeed on a Wisdom saving throw or be
charmed
by you for the spell's duration. If you or one of your companions harms the target, the spell ends.","When you cast this spell using a spell slot of 2nd level or higher, you can affect one additional beast for each slot level above 1st.","Control, Social","Bard (Legacy), Druid (Legacy), Ranger (Legacy), Cleric (Legacy) - Nature Domain (Legacy), Warlock (Legacy) - The Horned King (2014)",https://www.dndbeyond.com/spells/1993-animal-friendship,https://www.dndbeyond.com/spells?filter-search=&filter-verbal=&filter-somatic=&filter-material=&filter-concentration=&filter-ritual=&filter-source-category=26&filter-source-category=1&filter-partnered-content=f
1994,animal-messenger,Animal Messenger,2,Basic Rules (2014),212,"Basic Rules (2014), pg. 212",1 Action Ritual,30 ft.,"V, S, M *","V, S, M (a morsel of food)",24 Hours,Enchantment,None,,Communication (...),,"By means of this spell, you use an animal to deliver a message. Choose a Tiny beast you can see within range, such as a squirrel, a blue jay, or a bat. You specify a location, which you must have visited, and a recipient who matches a general description, such as ""a man or woman dressed in the uniform of the town guard"" or ""a red-haired dwarf wearing a pointed hat."" You also speak a message of up to twenty-five words. The target beast travels for the duration of the spell toward the specified location, covering about 50 miles per 24 hours for a flying messenger, or 25 miles for other animals.
When the messenger arrives, it delivers your message to the creature that you described, replicating the sound of your voice. The messenger speaks only to a creature matching the description you gave. If the messenger doesn't reach its destination before the spell ends, the message is lost, and the beast makes its way back to where you cast this spell.","If you cast this spell using a spell slot of 3rd level or higher, the duration of the spell increases by 48 hours for each slot level above 2nd.","Communication, Social","Bard (Legacy), Druid (Legacy), Ranger (Legacy)",https://www.dndbeyond.com/spells/1994-animal-messenger,https://www.dndbeyond.com/spells?filter-search=&filter-verbal=&filter-somatic=&filter-material=&filter-concentration=&filter-ritual=&filter-source-category=26&filter-source-category=1&filter-partnered-content=f
1995,animal-shapes,Animal Shapes,8,Basic Rules (2014),212,"Basic Rules (2014), pg. 212",1 Action,30 ft.,"V, S","V, S",Concentration 24 Hours,Transmutation,None,,Shapechanging,,"Your magic turns others into beasts. Choose any number of willing creatures that you can see within range. You transform each target into the form of a Large or smaller beast with a challenge rating of 4 or lower. On subsequent turns, you can use your action to transform affected creatures into new forms.
The transformation lasts for the duration for each target, or until the target drops to 0 hit points or dies. You can choose a different form for each target. A target's game statistics are replaced by the statistics of the chosen beast, though the target retains its alignment and Intelligence, Wisdom, and Charisma scores. The target assumes the hit points of its new form, and when it reverts to its normal form, it returns to the number of hit points it had before it transformed. If it reverts as a result of dropping to 0 hit points, any excess damage carries over to its normal form. As long as the excess damage doesn't reduce the creature's normal form to 0 hit points, it isn't knocked unconscious. The creature is limited in the actions it can perform by the nature of its new form, and it can't speak or cast spells.
The target's gear melds into the new form. The target can't activate, wield, or otherwise benefit from any of its equipment.",,Shapechanging,Druid (Legacy),https://www.dndbeyond.com/spells/1995-animal-shapes,https://www.dndbeyond.com/spells?filter-search=&filter-verbal=&filter-somatic=&filter-material=&filter-concentration=&filter-ritual=&filter-source-category=26&filter-source-category=1&filter-partnered-content=f
1996,animate-dead,Animate Dead,3,Basic Rules (2014),212,"Basic Rules (2014), pg. 212",1 Minute,10 ft.,"V, S, M *","V, S, M (a drop of blood, a piece of flesh, and a pinch of bone dust)",Instantaneous,Necromancy,None,,Creation,This spell creates an undead servant. Upcast: More creatures,"This spell creates an undead servant. Choose a pile of bones or a corpse of a Medium or Small humanoid within range. Your spell imbues the target with a foul mimicry of life, raising it as an undead creature. The target becomes a
skeleton
if you chose bones or a
zombie
if you chose a corpse (the GM has the creature's game statistics).
On each of your turns, you can use a bonus action to mentally command any creature you made with this spell if the creature is within 60 feet of you (if you control multiple creatures, you can command any or all of them at the same time, issuing the same command to each one). You decide what action the creature will take and where it will move during its next turn, or you can issue a general command, such as to guard a particular chamber or corridor. If you issue no commands, the creature only defends itself against hostile creatures. Once given an order, the creature continues to follow it until its task is complete.
The creature is under your control for 24 hours, after which it stops obeying any command you've given it. To maintain control of the creature for another 24 hours, you must cast this spell on the creature again before the current 24-hour period ends. This use of the spell reasserts your control over up to four creatures you have animated with this spell, rather than animating a new one.","When you cast this spell using a spell slot of 4th level or higher, you animate or reassert control over two additional undead creatures for each slot level above 3rd. Each of the creatures must come from a different corpse or pile of bones.",Creation,"Cleric (Legacy), Wizard (Legacy), Cleric (Legacy) - Death Domain, Druid (Legacy) - Circle of Spores, Paladin (Legacy) - Oathbreaker",https://www.dndbeyond.com/spells/1996-animate-dead,https://www.dndbeyond.com/spells?filter-search=&filter-verbal=&filter-somatic=&filter-material=&filter-concentration=&filter-ritual=&filter-source-category=26&filter-source-category=1&filter-partnered-content=f
1997,animate-objects,Animate Objects,5,Basic Rules (2014),213,"Basic Rules (2014), pg. 213",1 Action,120 ft.,"V, S","V, S",Concentration 1 Minute,Transmutation,None,,Creation (...),,"Objects come to life at your command. Choose up to ten nonmagical objects within range that are not being worn or carried. Medium targets count as two objects, Large targets count as four objects, Huge targets count as eight objects. You can't animate any object larger than Huge. Each target animates and becomes a creature under your control until the spell ends or until reduced to 0 hit points.
As a bonus action, you can mentally command any creature you made with this spell if the creature is within 500 feet of you (if you control multiple creatures, you can command any or all of them at the same time, issuing the same command to each one). You decide what action the creature will take and where it will move during its next turn, or you can issue a general command, such as to guard a particular chamber or corridor. If you issue no commands, the creature only defends itself against hostile creatures. Once given an order, the creature continues to follow it until its task is complete.
Animated Object Statistics
Size
HP
AC
Str
Dex
Attack
Tiny
20
18
4
18
+8 to hit, 1d4 + 4 damage
Small
25
16
6
14
+6 to hit, 1d8 + 2 damage
Medium
40
13
10
12
+5 to hit, 2d6 + 1 damage
Large
50
10
14
10
+6 to hit, 2d10 + 2 damage
Huge
80
10
18
6
+8 to hit, 2d12 + 4 damage
An animated object is a construct with AC, hit points, attacks, Strength, and Dexterity determined by its size. Its Constitution is 10 and its Intelligence and Wisdom are 3, and its Charisma is 1. Its speed is 30 feet; if the object lacks legs or other appendages it can use for locomotion, it instead has a flying speed of 30 feet and can hover. If the object is securely attached to a surface or a larger object, such as a chain bolted to a wall, its speed is 0. It has
blindsight
with a radius of 30 feet and is blind beyond that distance. When the animated object drops to 0 hit points, it reverts to its original object form, and any remaining damage carries over to its original object form.
If you command an object to attack, it can make a single melee attack against a creature within 5 feet of it. It makes a slam attack with an attack bonus and bludgeoning damage determined by its size. The GM might rule that a specific object inflicts slashing or piercing damage based on its form.","If you cast this spell using a spell slot of 6th level or higher, you can animate two additional objects for each slot level above 5th.","Creation, Damage","Bard (Legacy), Sorcerer (Legacy), Wizard (Legacy), Artificer (Legacy), Cleric (Legacy) - Forge Domain",https://www.dndbeyond.com/spells/1997-animate-objects,https://www.dndbeyond.com/spells?filter-search=&filter-verbal=&filter-somatic=&filter-material=&filter-concentration=&filter-ritual=&filter-source-category=26&filter-source-category=1&filter-partnered-content=f
1998,antilife-shell,Antilife Shell,5,Basic Rules (2014),213,"Basic Rules (2014), pg. 213",1 Action,Self (10 ft. ),"V, S","V, S",Concentration 1 Hour,Abjuration,None,,Control (...),,"A shimmering barrier extends out from you in a 10-foot radius and moves with you, remaining centered on you and hedging out creatures other than undead and constructs. The barrier lasts for the duration.
The barrier prevents an affected creature from passing or reaching through. An affected creature can cast spells or make attacks with ranged or reach weapons through the barrier.
If you move so that an affected creature is forced to pass through the barrier, the spell ends.",,"Control, Warding","Druid (Legacy), Cleric (Legacy) - Death Domain, Cleric (Legacy) - Grave Domain, Warlock (Legacy) - The Undead",https://www.dndbeyond.com/spells/1998-antilife-shell,https://www.dndbeyond.com/spells?filter-search=&filter-verbal=&filter-somatic=&filter-material=&filter-concentration=&filter-ritual=&filter-source-category=26&filter-source-category=1&filter-partnered-content=f
1999,antimagic-field,Antimagic Field,8,Basic Rules (2014),213,"Basic Rules (2014), pg. 213",1 Action,Self (10 ft. ),"V, S, M *","V, S, M (a pinch of powdered iron or iron filings)",Concentration 1 Hour,Abjuration,None,,Control (...),"Spells and other magical effects, except those created by an artifact or a deity, are suppressed in the sphere and can't protrude into it.","A 10-foot-radius invisible sphere of antimagic surrounds you. This area is divorced from the magical energy that suffuses the multiverse. Within the sphere, spells can't be cast, summoned creatures disappear, and even magic items become mundane. Until the spell ends, the sphere moves with you, centered on you.
Spells and other magical effects, except those created by an artifact or a deity, are suppressed in the sphere and can't protrude into it. A slot expended to cast a suppressed spell is consumed. While an effect is suppressed, it doesn't function, but the time it spends suppressed counts against its duration.
Targeted Effects.
Spells and other magical effects, such as
magic missile
and
charm person
, that target a creature or an object in the sphere have no effect on that target.
Areas of Magic.
The area of another spell or magical effect, such as
fireball
, can't extend into the sphere. If the sphere overlaps an area of magic, the part of the area that is covered by the sphere is suppressed. For example, the flames created by a
wall of fire
are suppressed within the sphere, creating a gap in the wall if the overlap is large enough.
Spells.
Any active spell or other magical effect on a creature or an object in the sphere is suppressed while the creature or object is in it.
Magic Items.
The properties and powers of magic items are suppressed in the sphere. For example, a
longsword, +1
in the sphere functions as a nonmagical longsword.
A magic weapon's properties and powers are suppressed if it is used against a target in the sphere or wielded by an attacker in the sphere. If a magic weapon or a piece of magic ammunition fully leaves the sphere (for example, if you fire a magic arrow or throw a magic spear at a target outside the sphere), the magic of the item ceases to be suppressed as soon as it exits.
Magical Travel.
Teleportation and planar travel fail to work in the sphere, whether the sphere is the destination or the departure point for such magical travel. A portal to another location, world, or plane of existence, as well as an opening to an extradimensional space such as that created by the
rope trick
spell, temporarily closes while in the sphere.
Creatures and Objects.
A creature or object summoned or created by magic temporarily winks out of existence in the sphere. Such a creature instantly reappears once the space the creature occupied is no longer within the sphere.
Dispel Magic.
Spells and magical effects such as
dispel magic
have no effect on the sphere. Likewise, the spheres created by different
antimagic field
spells don't nullify each other.",,"Control, Negation, Warding","Cleric (Legacy), Wizard (Legacy)",https://www.dndbeyond.com/spells/1999-antimagic-field,https://www.dndbeyond.com/spells?filter-search=&filter-verbal=&filter-somatic=&filter-material=&filter-concentration=&filter-ritual=&filter-source-category=26&filter-source-category=1&filter-partnered-content=f
2000,antipathy-sympathy,Antipathy/Sympathy,8,Basic Rules (2014),214,"Basic Rules (2014), pg. 214",1 Hour,60 ft. (200 ft. ),"V, S, M *","V, S, M (either a lump of alum soaked in vinegar for the antipathy effect or a drop of honey for the sympathy effect)",10 Days,Enchantment,WIS Save,Wis,Frightened,,"This spell attracts or repels creatures of your choice. You target something within range, either a Huge or smaller object or creature or an area that is no larger than a 200-foot cube. Then specify a kind of intelligent creature, such as red dragons, goblins, or vampires. You invest the target with an aura that either attracts or repels the specified creatures for the duration. Choose antipathy or sympathy as the aura's effect.
Antipathy.
The enchantment causes creatures of the kind you designated to feel an intense urge to leave the area and avoid the target. When such a creature can see the target or comes within 60 feet of it, the creature must succeed on a Wisdom saving throw or become
frightened
. The creature remains
frightened
while it can see the target or is within 60 feet of it. While
frightened
by the target, the creature must use its movement to move to the nearest safe spot from which it can't see the target. If the creature moves more than 60 feet from the target and can't see it, the creature is no longer
frightened
, but the creature becomes
frightened
again if it regains sight of the target or moves within 60 feet of it.
Sympathy.
The enchantment causes the specified creatures to feel an intense urge to approach the target while within 60 feet of it or able to see it. When such a creature can see the target or comes within 60 feet of it, the creature must succeed on a Wisdom saving throw or use its movement on each of its turns to enter the area or move within reach of the target. When the creature has done so, it can't willingly move away from the target.
If the target damages or otherwise harms an affected creature, the affected creature can make a Wisdom saving throw to end the effect, as described below.
Ending the Effect.
If an affected creature ends its turn while not within 60 feet of the target or able to see it, the creature makes a Wisdom saving throw. On a successful save, the creature is no longer affected by the target and recognizes the feeling of repugnance or attraction as magical. In addition, a creature affected by the spell is allowed another Wisdom saving throw every 24 hours while the spell persists.
A creature that successfully saves against this effect is immune to it for 1 minute, after which time it can be affected again.",,"Control, Warding","Druid (Legacy), Wizard (Legacy)",https://www.dndbeyond.com/spells/2000-antipathy-sympathy,https://www.dndbeyond.com/spells?filter-search=&filter-verbal=&filter-somatic=&filter-material=&filter-concentration=&filter-ritual=&filter-source-category=26&filter-source-category=1&filter-partnered-content=f
2001,arcane-eye,Arcane Eye,4,Basic Rules (2014),214,"Basic Rules (2014), pg. 214",1 Action,30 ft.,"V, S, M *","V, S, M (a bit of bat fur)",Concentration 1 Hour,Divination,None,,Detection,,"You create an invisible, magical eye within range that hovers in the air for the duration.
You mentally receive visual information from the eye, which has normal vision and
darkvision
out to 30 feet. The eye can look in every direction.
As an action, you can move the eye up to 30 feet in any direction. There is no limit to how far away from you the eye can move, but it can't enter another plane of existence. A solid barrier blocks the eye's movement, but the eye can pass through an opening as small as 1 inch in diameter.",,Detection,"Wizard (Legacy), Artificer (Legacy), Cleric (Legacy) - Knowledge Domain (Legacy), Cleric (Legacy) - Arcana Domain, Cleric (Legacy) - Inquisition Domain (Legacy), Druid (Legacy) - Circle of the Hive, Warlock (Legacy) - The Many",https://www.dndbeyond.com/spells/2001-arcane-eye,https://www.dndbeyond.com/spells?filter-search=&filter-verbal=&filter-somatic=&filter-material=&filter-concentration=&filter-ritual=&filter-source-category=26&filter-source-category=1&filter-partnered-content=f
